,filename,filepath,breed,extension,cat_or_dog
0,Abyssinian_100.jpg,./data/images/Abyssinian_100.jpg,Abyssinian,.jpg,cat
2,Abyssinian_101.jpg,./data/images/Abyssinian_101.jpg,Abyssinian,.jpg,cat
4,Abyssinian_102.jpg,./data/images/Abyssinian_102.jpg,Abyssinian,.jpg,cat
6,Abyssinian_103.jpg,./data/images/Abyssinian_103.jpg,Abyssinian,.jpg,cat
7,Abyssinian_104.jpg,./data/images/Abyssinian_104.jpg,Abyssinian,.jpg,cat
8,Abyssinian_105.jpg,./data/images/Abyssinian_105.jpg,Abyssinian,.jpg,cat
9,Abyssinian_106.jpg,./data/images/Abyssinian_106.jpg,Abyssinian,.jpg,cat
10,Abyssinian_107.jpg,./data/images/Abyssinian_107.jpg,Abyssinian,.jpg,cat
11,Abyssinian_108.jpg,./data/images/Abyssinian_108.jpg,Abyssinian,.jpg,cat
12,Abyssinian_109.jpg,./data/images/Abyssinian_109.jpg,Abyssinian,.jpg,cat
13,Abyssinian_10.jpg,./data/images/Abyssinian_10.jpg,Abyssinian,.jpg,cat
14,Abyssinian_110.jpg,./data/images/Abyssinian_110.jpg,Abyssinian,.jpg,cat
15,Abyssinian_111.jpg,./data/images/Abyssinian_111.jpg,Abyssinian,.jpg,cat
16,Abyssinian_112.jpg,./data/images/Abyssinian_112.jpg,Abyssinian,.jpg,cat
17,Abyssinian_113.jpg,./data/images/Abyssinian_113.jpg,Abyssinian,.jpg,cat
18,Abyssinian_114.jpg,./data/images/Abyssinian_114.jpg,Abyssinian,.jpg,cat
19,Abyssinian_115.jpg,./data/images/Abyssinian_115.jpg,Abyssinian,.jpg,cat
20,Abyssinian_116.jpg,./data/images/Abyssinian_116.jpg,Abyssinian,.jpg,cat
21,Abyssinian_117.jpg,./data/images/Abyssinian_117.jpg,Abyssinian,.jpg,cat
22,Abyssinian_118.jpg,./data/images/Abyssinian_118.jpg,Abyssinian,.jpg,cat
23,Abyssinian_119.jpg,./data/images/Abyssinian_119.jpg,Abyssinian,.jpg,cat
24,Abyssinian_11.jpg,./data/images/Abyssinian_11.jpg,Abyssinian,.jpg,cat
25,Abyssinian_120.jpg,./data/images/Abyssinian_120.jpg,Abyssinian,.jpg,cat
26,Abyssinian_121.jpg,./data/images/Abyssinian_121.jpg,Abyssinian,.jpg,cat
27,Abyssinian_122.jpg,./data/images/Abyssinian_122.jpg,Abyssinian,.jpg,cat
28,Abyssinian_123.jpg,./data/images/Abyssinian_123.jpg,Abyssinian,.jpg,cat
29,Abyssinian_124.jpg,./data/images/Abyssinian_124.jpg,Abyssinian,.jpg,cat
30,Abyssinian_125.jpg,./data/images/Abyssinian_125.jpg,Abyssinian,.jpg,cat
31,Abyssinian_126.jpg,./data/images/Abyssinian_126.jpg,Abyssinian,.jpg,cat
